predictor,predictor_mode,outcome,evidence_class,scope,held_out_study,n_arms,spearman_rho
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,pooled_within_study_centered,,18,0.5335397316821465
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,study:codeswitch,,4,1.0
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,study:guard_sweep,,5,0.8999999999999998
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,study:original,,5,-0.09999999999999999
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,study:wordalign,,6,0.7714285714285715
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,0.45494505494505494
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,0.3098901098901099
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,original,14,0.9252747252747253
R2_mean_alignment_margin,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,wordalign,13,0.34615384615384615
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,pooled_within_study_centered,,18,0.9174406604747163
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,study:codeswitch,,4,0.19999999999999998
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,study:guard_sweep,,5,0.9999999999999999
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,study:original,,5,0.8999999999999998
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,study:wordalign,,6,0.8285714285714287
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,0.9648351648351648
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,0.8373626373626375
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,original,14,0.9120879120879121
R2_mean_alignment_margin,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,wordalign,13,0.9395604395604396
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,pooled_within_study_centered,,18,0.038183694530443756
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:codeswitch,,4,0.0
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:guard_sweep,,5,0.6
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:original,,5,0.7
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:wordalign,,6,-0.7714285714285715
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,codeswitch,14,0.01098901098901099
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,guard_sweep,14,-0.0857142857142857
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,original,14,-0.02417582417582418
R2_mean_alignment_margin,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,wordalign,13,0.5549450549450549
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,pooled_within_study_centered,,18,0.10629514963880288
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:codeswitch,,4,-0.39999999999999997
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:guard_sweep,,5,0.7
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:original,,5,0.49999999999999994
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:wordalign,,6,-0.7714285714285715
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,codeswitch,14,0.24395604395604395
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,guard_sweep,14,-0.0945054945054945
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,original,14,0.03736263736263736
R2_mean_alignment_margin,paired_delta,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,wordalign,13,0.32967032967032966
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,pooled_within_study_centered,,18,-0.10216718266253869
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:codeswitch,,4,-0.39999999999999997
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:guard_sweep,,5,-0.3
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:original,,5,0.39999999999999997
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,study:wordalign,,6,-0.6
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,codeswitch,14,0.002197802197802198
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,guard_sweep,14,-0.2175824175824176
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,original,14,-0.3362637362637363
R2_mean_alignment_margin,paired_delta,delta_context_heldout_vs_control,behavioral_health_inversion_risk,leave_one_study_out,wordalign,13,0.0934065934065934
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,pooled_within_study_centered,,18,0.2280701754385965
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,study:codeswitch,,4,0.39999999999999997
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,study:guard_sweep,,5,0.8999999999999998
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,study:original,,5,-0.09999999999999999
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,study:wordalign,,6,0.028571428571428574
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,0.2175824175824176
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,-0.14285714285714285
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,original,14,0.665934065934066
R3_weak_language_tail,paired_delta,delta_mexa_vs_control,convergent_representation,leave_one_study_out,wordalign,13,0.18131868131868134
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,pooled_within_study_centered,,18,0.87203302373581
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,study:codeswitch,,4,0.7999999999999999
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,study:guard_sweep,,5,0.9999999999999999
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,study:original,,5,0.8999999999999998
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,study:wordalign,,6,0.3714285714285715
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,codeswitch,14,0.9164835164835166
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,guard_sweep,14,0.745054945054945
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,original,14,0.832967032967033
R3_weak_language_tail,paired_delta,delta_aar10_vs_control,convergent_representation,leave_one_study_out,wordalign,13,0.9725274725274725
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,pooled_within_study_centered,,18,0.40350877192982454
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:codeswitch,,4,0.7999999999999999
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:guard_sweep,,5,0.6
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:original,,5,0.7
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,study:wordalign,,6,0.2
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,codeswitch,14,0.2043956043956044
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,guard_sweep,14,0.367032967032967
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,original,14,0.3186813186813187
R3_weak_language_tail,paired_delta,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,wordalign,13,0.8186813186813187
