study,arm,is_control,control_arm,metric,n,mean,sd,min,max,ci95_low,ci95_high
codeswitch,CS-W10,0,CS-B,delta_R3_weak_language_tail_vs_control,3,-0.00916461226573099,0.011407000128069233,-0.021127824208847207,0.0015899196349436207,-0.03750117146180861,0.019171946930346635
codeswitch,CS-W10,0,CS-B,delta_R4_within_concept_ratio_vs_control,3,0.005283294605120041,0.027936218048890734,-0.02606426963720232,0.02754721640084601,-0.06411411817380964,0.07468070738404974
codeswitch,CS-W10,0,CS-B,delta_R4_shared_concept_ratio_vs_control,3,0.007215749105043449,0.03239415557810525,-0.02823641278696798,0.035273310027579496,-0.0732557944068351,0.08768729261692201
codeswitch,CS-W10,0,CS-B,delta_R4_effective_rank_ratio_vs_control,3,-0.03612070436363568,0.036619655497935104,-0.06725696321636898,0.004224414534398813,-0.1270889715773616,0.05484756285009022
codeswitch,CS-W10,0,CS-B,delta_lfs_vs_control,3,-0.009543271244988438,0.006815209056642016,-0.017396196395924712,-0.005174372893299917,-0.02647318907605526,0.007386646586078384
codeswitch,CS-W10,0,CS-B,delta_effective_rank_vs_control,3,-1.480281314024431,1.5007290891641176,-2.7562924821435715,0.17312292238296578,-5.208299039537739,2.247736411488877
codeswitch,CS-W10,0,CS-B,delta_mexa_vs_control,3,-0.0040740740740741336,0.01096196191625831,-0.0166666666666667,0.0033333333333333,-0.03130509706502231,0.023156948916874046
codeswitch,CS-W10,0,CS-B,delta_aar10_vs_control,3,-0.0072839251822894675,0.00531800341298331,-0.0133919268846511,-0.003681839754184,-0.020494578011698274,0.005926727647119338
codeswitch,CS-W10,0,CS-B,ppl_favorable_vs_control,3,-0.005328826575460091,0.020897334130479648,-0.02944645956632402,0.00740334565760499,-0.05724068236403188,0.0465830292131117
codeswitch,CS-W10,0,CS-B,delta_context_trained_vs_control,3,-0.005512727234098634,0.013849570414103457,-0.0165193168322244,0.0100380468368529,-0.039916967391314666,0.0288915129231174
codeswitch,CS-W10,0,CS-B,delta_context_heldout_vs_control,3,-0.0230580740504794,0.015794100127702736,-0.0403162717819214,-0.009323139588038,-0.06229279380086647,0.016176645699907666
codeswitch,CS-W10,0,CS-B,R4_within_concept_ratio,3,0.9646407873285389,0.011933925720522305,0.9528512984789966,0.9767140872157812,0.9349952723969622,0.9942863022601155
codeswitch,CS-W10,0,CS-B,R4_shared_concept_ratio,3,0.9645767621982227,0.013078981217880897,0.9509542574765444,0.9770342764666048,0.9320867717236105,0.997066752672835
codeswitch,CS-W10,0,CS-B,R4_effective_rank_ratio,3,0.940645875473129,0.019230569379031538,0.9281882393608976,0.9627938730154232,0.8928744928602456,0.9884172580860123
codeswitch,CS-W25,0,CS-B,delta_R1_concept_dominance_vs_control,3,0.015124697895706363,0.007543503622094064,0.008518102581004383,0.0233442055422019,-0.0036144039306627088,0.033863799722075434
codeswitch,CS-W25,0,CS-B,delta_R2_mean_alignment_margin_vs_control,3,-0.0015854448588466681,0.0006509018803330071,-0.0023110107958415026,-0.0010528419529872018,-0.0032023747664310914,3.14850487377553e-05
codeswitch,CS-W25,0,CS-B,delta_R3_weak_language_tail_vs_control,3,-0.020385051449932034,0.004463271920360776,-0.023983785948678615,-0.015390746213565981,-0.03147243354509655,-0.009297669354767514
codeswitch,CS-W25,0,CS-B,delta_R4_within_concept_ratio_vs_control,3,0.005455786777135947,0.00713124873801598,0.0007236972908786221,0.013657943700817188,-0.0122592171448415,0.023170790699113392
codeswitch,CS-W25,0,CS-B,delta_R4_shared_concept_ratio_vs_control,3,0.004479779187692083,0.006849274977887849,-0.001620237735656005,0.011889250101764448,-0.01253476308302703,0.021494321458411198
codeswitch,CS-W25,0,CS-B,delta_R4_effective_rank_ratio_vs_control,3,-0.05396144631712833,0.0068156588395494955,-0.05984489050666686,-0.04649291311866055,-0.07089248147087772,-0.037030411163378935
codeswitch,CS-W25,0,CS-B,delta_lfs_vs_control,3,-0.015124697895706399,0.007543503622094088,-0.023344205542201957,-0.008518102581004383,-0.03386379972207553,0.003614403930662735
codeswitch,CS-W25,0,CS-B,delta_effective_rank_vs_control,3,-2.2114220104022784,0.2793160488062875,-2.452534487285412,-1.9053501789793756,-2.905281540739073,-1.5175624800654837
codeswitch,CS-W25,0,CS-B,delta_mexa_vs_control,3,-0.009629629629629533,0.004206598774666827,-0.0144444444444443,-0.0066666666666666,-0.020079400283982127,0.0008201410247230621
codeswitch,CS-W25,0,CS-B,delta_aar10_vs_control,3,-0.013049285444948365,0.0011206632583556928,-0.0142277839283148,-0.0119971732298533,-0.015833167307202745,-0.010265403582693986
codeswitch,CS-W25,0,CS-B,ppl_favorable_vs_control,3,-0.02245051427425095,0.033790304716392515,-0.06138039707270033,-0.0007199908745449549,-0.10639028451177662,0.06148925596327473
codeswitch,CS-W25,0,CS-B,delta_context_trained_vs_control,3,-0.027986316548453367,0.01646972535501306,-0.0432281204064686,-0.0105156727631886,-0.06889938240501191,0.012926749308105178
codeswitch,CS-W25,0,CS-B,delta_context_heldout_vs_control,3,-0.057168327040142436,0.01923929239149487,-0.0704292472203572,-0.0351021496454874,-0.10496137881724604,-0.009375275263038836
codeswitch,CS-W25,0,CS-B,R4_within_concept_ratio,3,0.9648132795005547,0.022605226141313117,0.9387954792297049,0.9796392654070776,0.9086587847602744,1.020967774240835
codeswitch,CS-W25,0,CS-B,R4_shared_concept_ratio,3,0.9618407922808713,0.024477909774898658,0.9336387678209072,0.9775704325278564,0.9010342935042235,1.022647291057519
codeswitch,CS-W25,0,CS-B,R4_effective_rank_ratio,3,0.9228051335196362,0.017218474983406087,0.9120765453623638,0.9426659419333776,0.8800320704745275,0.965578196564745
codeswitch,CS-W50,0,CS-B,delta_R1_concept_dominance_vs_control,3,0.0201922201082891,0.010154029539668841,0.008484256082434694,0.026591178881676503,-0.0050317875974291125,0.04541622781400731
codeswitch,CS-W50,0,CS-B,delta_R2_mean_alignment_margin_vs_control,3,0.003078476354699164,0.001593060906331528,0.0021167418097588,0.004917335913628695,-0.0008789063198341445,0.0070358590292324726
codeswitch,CS-W50,0,CS-B,delta_R3_weak_language_tail_vs_control,3,-0.01275052247563807,0.0034302371605932362,-0.014821723389152802,-0.008791033843897511,-0.0212717039665151,-0.00422934098476104
codeswitch,CS-W50,0,CS-B,delta_R4_within_concept_ratio_vs_control,3,0.012577869999499947,0.009381035240119464,0.0052070376131294616,0.023137654863725987,-0.010725913415739623,0.03588165341473952
codeswitch,CS-W50,0,CS-B,delta_R4_shared_concept_ratio_vs_control,3,0.01255632861541008,0.012515812297142407,0.0032298861584844074,0.02678033750915143,-0.018534672705109896,0.04364732993593006
codeswitch,CS-W50,0,CS-B,delta_R4_effective_rank_ratio_vs_control,3,-0.051663161067926976,0.010104038580008875,-0.06331240708983155,-0.04527916701092105,-0.07676298434550728,-0.026563337790346673
codeswitch,CS-W50,0,CS-B,delta_lfs_vs_control,3,-0.02019222010828914,0.010154029539668822,-0.026591178881676503,-0.008484256082434749,-0.0454162278140073,0.005031787597429026
codeswitch,CS-W50,0,CS-B,delta_effective_rank_vs_control,3,-2.117234790949387,0.4140788439670277,-2.5946385822790816,-1.8556090204136737,-3.145863662885861,-1.088605919012913
codeswitch,CS-W50,0,CS-B,delta_mexa_vs_control,3,0.002962962962962967,0.005010277503136491,-0.0022222222222221,0.0077777777777778,-0.009483256328912672,0.015409182254838607
codeswitch,CS-W50,0,CS-B,delta_aar10_vs_control,3,-0.008788841466108867,0.00287968909823795,-0.0110985152423381,-0.0055623712639013,-0.01594238575315806,-0.0016352971790596742
