model,layer,n_axes,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance,median_share_top5_raw_variance,median_share_rest,median_share_top5_minus_rest,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,gaussian_null_mean
EuroLLM-1.7B,0,2048,0.7465426469004054,0.8580555556535736,0.9080170611542215,0.9432132410926717,0.9725694697150645,0.9990234375,0.94775390625,0.55712890625,1.0,0.401354302874648,0.18266868517056087,0.8795260220381074,0.977150090140934,0.9053045819023854,0.07184550823854863,13,300,2048,0.9047059530461118,0.2162473489876707,0.3493045635564077,0.0385852090032154
EuroLLM-1.7B,6,2048,0.763854741583756,0.8732636019729269,0.9251221004485615,0.9571381305550264,0.9819489794775715,0.99755859375,0.95751953125,0.646484375,1.0,0.7031984775041717,0.5646909658966631,0.8801532120622902,0.983789913937232,0.9217901333840872,0.06199978055314481,13,300,2048,0.916331336450382,0.8455034412019651,0.6050270568685902,0.0385852090032154
EuroLLM-1.7B,14,2048,0.505111033346545,0.6990999547975396,0.7988603483862455,0.8684875588124878,0.9357505254319847,0.953125,0.64453125,0.1474609375,1.0,0.8712123710949558,0.815670298651308,0.809116648169106,0.932039185301788,0.7930367648525715,0.1390024204492165,13,300,2048,0.7900691089438461,0.8110681630895094,0.8570199904573114,0.0385852090032154
EuroLLM-1.7B,18,2048,0.5482974070419058,0.7082797906662792,0.7957914292468118,0.8601958477516185,0.9224656087036718,0.974609375,0.6484375,0.10546875,1.0,0.713887219431701,0.6195933706485377,0.7829896406692901,0.9164543561184296,0.7909396492843443,0.12551470683408528,13,300,2048,0.7886083092980324,0.7883184122183895,0.6138309212897363,0.0385852090032154
EuroLLM-1.7B,24,2048,0.6591487463580142,0.8083498855142723,0.8744229150314615,0.9186785239963176,0.9697352611776511,0.9951171875,0.86376953125,0.35498046875,1.0,0.9372030625172281,0.9190597356485292,0.8594189044192804,0.985781903597775,0.8692842699669492,0.11649763363082577,13,300,2048,0.8666720714384681,0.3257004866397546,0.48126840936142,0.0385852090032154
Falcon3-7B-Base,0,3072,0.85825185651992,0.9209601686120399,0.9474622588237891,0.9640162131881292,0.9793201437547179,1.0,0.9947916666666666,0.8583984375,1.0,0.3215999595786685,0.1450019763954122,0.8723399727373623,0.9815538022271857,0.9457071024669609,0.03584669976022481,13,300,3072,0.9426148515165929,0.2417667408592549,0.1725890697452548,0.0385852090032154
Falcon3-7B-Base,7,3072,0.7466491519798171,0.8517348656679085,0.8954421725059488,0.9251021921664081,0.953685416577606,0.99609375,0.947265625,0.4651692708333333,1.0,0.8776771444799325,0.8084136467127512,0.5341827367539127,0.9183477630196364,0.8938279365974029,0.024519826422233493,13,300,3072,0.8848641484512959,0.7567024687437459,0.7444075245545375,0.0385852090032154
Falcon3-7B-Base,13,3072,0.5201962926464835,0.6785212455014002,0.7696390513280494,0.8437566976290818,0.9112195867185392,0.9622395833333334,0.5667317708333334,0.07552083333333333,1.0,0.9249525844879816,0.8367342919018975,0.6388924128299197,0.8890063957199611,0.7654507263906483,0.12355566932931283,13,300,3072,0.7682529162600981,0.7586894509720479,0.7184990155570543,0.0385852090032154
Falcon3-7B-Base,21,3072,0.7623239651307574,0.8629668763224257,0.9039626165005457,0.9313059860041506,0.9561510075244444,0.9944661458333334,0.9557291666666666,0.5244140625,1.0,0.7311763473896906,0.6332677520775556,0.3412853182889693,0.8501660706025743,0.9057688901342881,-0.055602819531713754,13,300,3072,0.8917857535667262,0.780664317944184,0.5448715556937846,0.0385852090032154
Falcon3-7B-Base,28,3072,0.8136284801348979,0.8994326245835906,0.9327202554964981,0.9527537887882149,0.9717254924078303,0.9990234375,0.9781901041666666,0.7473958333333334,1.0,0.6863308693404293,0.604154355012024,0.6311345061371864,0.9563943962275818,0.9313062844084516,0.025088111819130177,13,300,3072,0.9235213569442612,0.827234275606013,0.2959378304607286,0.0385852090032154
