study,arm,is_control,control_arm,n_seeds,source_checkpoint_count,source_checkpoints,trained_lfs,trained_mexa,trained_aar10,heldout_lfs,heldout_mexa,heldout_aar10,cvp_vs_frozen,ppl_geomean_ratio_vs_control,context_trained,context_heldout,delta_mexa_vs_control,delta_aar10_vs_control,delta_context_trained_vs_control,delta_context_heldout_vs_control,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank,control_R1_concept_dominance,control_R2_mean_alignment_margin,control_R3_weak_language_tail,control_R4_within_concept_ratio,control_R4_shared_concept_ratio,control_R4_effective_rank_ratio,control_lfs,control_effective_rank,delta_R1_concept_dominance_vs_control,delta_R2_mean_alignment_margin_vs_control,delta_R3_weak_language_tail_vs_control,delta_R4_within_concept_ratio_vs_control,delta_R4_shared_concept_ratio_vs_control,delta_R4_effective_rank_ratio_vs_control,delta_lfs_vs_control,delta_effective_rank_vs_control,ppl_favorable_vs_control,analysis_unit_key
codeswitch,CS-B,1,CS-B,3,3,ckpt_armCS-B_seed0|ckpt_armCS-B_seed1|ckpt_armCS-B_seed2,0.5077551327604727,0.394074074074074,-0.10474303116401033,0.5404033192282985,0.5468055555555555,-0.09086269830974436,,1.0,0.44139481160375804,0.6790876250796848,0.0,0.0,0.0,0.0,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,1641560.7610456727,909657.9394908954,1442381.299463433,0.41104786684837546,0.22777893116258388,0.36117320198904057,14873.341383731364,10495.26285176599,7248.161901004653,4378.078531965374,188.0047528481325,40.029377659411274,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,40.029377659411274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,codeswitch:CS-B
codeswitch,CS-P25,0,CS-B,3,3,ckpt_armCS-P25_seed0|ckpt_armCS-P25_seed1|ckpt_armCS-P25_seed2,0.48665126223160343,0.391111111111111,-0.1127653738690747,0.5191937635576536,0.5443055555555555,-0.09672846678101144,,1.0300319067565982,0.43086952103508835,0.6435203795962864,-0.002962962962963,-0.0080223427050643,-0.010525290568669634,-0.0355672454833983,0.3747102733752034,0.031667471804477036,-0.23571438343411547,0.9604209266085645,0.9577610359178609,0.9365603927188944,0.6252897266247965,1594705.4616064064,955512.1661146713,1443382.3722789215,0.39931526983333493,0.23926085890291246,0.3614238712637525,14889.828267226585,10499.648182518256,7301.229335191714,4390.180084708328,188.69617862891536,38.381667058322584,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,40.029377659411274,0.0180866044100582,0.0010452374905833655,-0.017423282731273988,0.001063433885145552,0.0004000228246816562,-0.04020618711787027,-0.018086604410058233,-1.6477106010886924,-0.02937290931151947,codeswitch:CS-P25
codeswitch,CS-W10,0,CS-B,3,3,ckpt_armCS-W10_seed0|ckpt_armCS-W10_seed1|ckpt_armCS-W10_seed2,0.4963828309922989,0.38999999999999996,-0.11202695634629983,0.5302799029540041,0.5348611111111111,-0.0979667666445796,,1.0054899851330994,0.4358820843696594,0.6560295510292052,-0.0040740740740741336,-0.0072839251822894675,-0.005512727234098634,-0.0230580740504794,0.3661669402101337,0.029691315264423767,-0.2274557129685725,0.9646407873285389,0.9645767621982227,0.940645875473129,0.6338330597898664,1622769.7049678627,937407.934387908,1433422.3606442306,0.40634257436094307,0.23472754767325413,0.3589298779658028,14955.25062495666,10574.3669540786,7249.692446138911,4380.883670878059,188.8276357001474,38.54909634538685,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,40.029377659411274,0.00954327124498842,-0.0009309190494699027,-0.00916461226573099,0.005283294605120041,0.007215749105043449,-0.03612070436363568,-0.009543271244988438,-1.480281314024431,-0.005328826575460091,codeswitch:CS-W10
codeswitch,CS-W25,0,CS-B,3,3,ckpt_armCS-W25_seed0|ckpt_armCS-W25_seed1|ckpt_armCS-W25_seed2,0.48781183861820804,0.3844444444444444,-0.11779231660895872,0.5227336386635248,0.53625,-0.1021325791953131,,1.0230961770728426,0.4134084950553046,0.6219192980395424,-0.009629629629629533,-0.013049285444948365,-0.027986316548453367,-0.057168327040142436,0.3717483668608516,0.029036789455046997,-0.23867615215277352,0.9648132795005547,0.9618407922808713,0.9228051335196362,0.6282516331391483,1606485.215490197,950568.5687400376,1436546.2157697652,0.4022649277569605,0.2380229789513315,0.359712093291708,14957.92484700618,10544.373333026128,7362.249757571469,4413.551513980055,189.3243971349647,37.817955649009,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,40.029377659411274,0.015124697895706363,-0.0015854448588466681,-0.020385051449932034,0.005455786777135947,0.004479779187692083,-0.05396144631712833,-0.015124697895706399,-2.2114220104022784,-0.02245051427425095,codeswitch:CS-W25
codeswitch,CS-W50,0,CS-B,3,3,ckpt_armCS-W50_seed0|ckpt_armCS-W50_seed1|ckpt_armCS-W50_seed2,0.4878109419587158,0.397037037037037,-0.11353187263011927,0.5202054724204638,0.5476388888888889,-0.09669027190345027,,1.0224723323207519,0.4023706828223334,0.5910440156194899,0.002962962962962967,-0.008788841466108867,-0.039024128781424534,-0.08804360946019486,0.37681588907343433,0.033700710668592836,-0.23104162317847957,0.9719353627229189,0.9699173417085892,0.9251034187688377,0.6231841109265656,1595704.3649920225,964800.0524155177,1433095.5825924603,0.3995653958814159,0.24158655158641762,0.35884805253216645,15068.341637340358,10632.9141321812,7434.347389123454,4435.427505159157,189.71574885851916,37.91214286846189,0.35662366896514525,0.03062223431389367,-0.2182911007028415,0.9593574927234189,0.9573610130931792,0.9767665798367647,0.6433763310348547,40.029377659411274,0.0201922201082891,0.003078476354699164,-0.01275052247563807,0.012577869999499947,0.01255632861541008,-0.051663161067926976,-0.02019222010828914,-2.117234790949387,-0.022210157500073723,codeswitch:CS-W50
guard_sweep,A,0,B,3,1,Qwen3-0.6B-Base,0.44456918453047783,0.4444444444444444,-0.0902211877206961,0.5001732209757385,0.5662499999999999,-0.0921492252964526,1.0,0.6757816969754442,0.3124146215120951,0.4925253816445669,0.027037037037036932,0.004965085536241486,-0.007309426400396501,-0.028334283034006664,0.3909222639262369,0.0404647730708303,-0.1949951418679269,1.0,1.0,1.0,0.609077736073763,1464256.6155364737,939798.7764326446,1589544.6080308824,0.3666507951563685,0.2353262160538472,0.3980229887897841,15503.4400591473,10962.701330249902,7493.574007113292,4540.738728897399,190.9772906196989,40.981518497593264,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.012752376904914006,0.0073602711438266995,0.025746746522049262,0.038951510955696676,0.04149916976524537,-0.007971939160863398,-0.012752376904914042,-0.326702172182614,0.3922499082537403,Qwen3-0.6B-Base
guard_sweep,B,1,B,3,3,ckpt_armB_seed0|ckpt_armB_seed1|ckpt_armB_seed2,0.46820255558436136,0.4174074074074074,-0.09518627325693763,0.5225843039944482,0.55375,-0.0877852016322625,0.9552878047051075,1.0,0.31972404791249165,0.5208596646785736,0.0,0.0,0.0,0.0,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,1534764.2784132485,933372.1927138912,1525463.5288728608,0.38430595913793275,0.2337169953710664,0.38197704549100076,14899.557643832435,10507.75832666018,7330.311438761892,4391.799317172256,187.39071838623553,41.30822066977588,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guard_sweep:B
guard_sweep,E_cvp10,0,B,3,3,ckpt_armE_cvp10_seed0|ckpt_armE_cvp10_seed1|ckpt_armE_cvp10_seed2,0.18678007915441833,0.4014814814814815,-0.25335425552394647,0.2236615963832935,0.49097222222222214,-0.22219890022036756,0.9555218130915017,1.0551870390549103,0.29346650885211095,0.506463451385498,-0.0159259259259259,-0.15816798226700882,-0.026257539060380666,-0.014396213293075534,0.7255479034122269,-0.012780561640786168,-0.47695464267800297,0.9725238509085058,0.9675182129751785,2.8522812173553844,0.27445209658777325,718127.3793393703,1898280.523377801,1377192.0972828276,0.17981955612464204,0.47533065990029083,0.34484978397506705,15077.465228651125,10606.613200423997,6903.792789894119,4470.852028227127,183.4604354854761,116.89081546938753,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.3473780163909039,-0.04588506356778976,-0.2562127542880268,0.011475361864202468,0.009017382740423815,1.8443092781945214,-0.3473780163909039,75.58259479961166,-0.05353965953893541,guard_sweep:E_cvp10
guard_sweep,E_cvp100,0,B,3,3,ckpt_armE_cvp100_seed0|ckpt_armE_cvp100_seed1|ckpt_armE_cvp100_seed2,0.18749605873516928,0.39259259259259255,-0.2630028975092702,0.22213001418647305,0.4847222222222222,-0.23077862901845939,1.0059303918757687,1.0519062024516017,0.2892539461453756,0.4976213739977942,-0.024814814814814734,-0.1678166242523326,-0.030470101767116065,-0.023238290680779265,0.7261945056022591,-0.017540452101176166,-0.4902953828265753,1.017552197289637,1.0109201193591864,2.7898722922688948,0.273805494397741,718454.1953947154,1905403.6224306945,1369742.1821745902,0.17990139107439784,0.4771142884692243,0.34298432045637767,15775.559497733515,11082.41533727534,7272.542639035843,4693.144160458174,187.7570826281376,114.33320295154063,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.3480246185809361,-0.05064495402817978,-0.2695534944365991,0.05650370824533383,0.052419289124431646,1.7819003531080313,-0.3480246185809361,73.02498228176474,-0.05049330725541532,guard_sweep:E_cvp100
guard_sweep,E_cvp1k,0,B,3,3,ckpt_armE_cvp1k_seed0|ckpt_armE_cvp1k_seed1|ckpt_armE_cvp1k_seed2,0.18759966664360447,0.3855555555555555,-0.26444204648335773,0.22257241888399806,0.4784722222222222,-0.23429707235967115,1.0220736187928798,1.0421327899062498,0.2859619660509957,0.4953306727939181,-0.03185185185185183,-0.16925577322642008,-0.0337620818614959,-0.025528991884655388,0.7268206075727931,-0.018833231175977665,-0.4940996145389576,1.0218783517047552,1.0133122828650876,2.7771771390758997,0.27317939242720685,718046.8309584941,1910350.55421985,1365202.6148216554,0.179799386758437,0.4783530033603391,0.3418476098812238,15842.629773394912,11108.63991132366,7344.490980385286,4733.989862071251,188.211452388955,113.81293629613212,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.34865072055147023,-0.05193773310298127,-0.27335772614898146,0.06082986266045176,0.05481145263033301,1.7692051999150362,-0.34865072055147023,72.50471562635624,-0.04104638589092241,guard_sweep:E_cvp1k
