study,seed,arm,is_control,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,effective_rank
wordalign,0,WA-B,1,1.0120874348691604,1.0132307008646708,0.9422863433694836,True,0.6275673946503125,38.616325210826005
wordalign,1,WA-B,1,1.0156388106831848,1.0182627391137544,0.9312945269139288,True,0.6198841032596872,38.16586388143055
wordalign,2,WA-B,1,1.0066951645809885,1.0083631444502963,0.9407516120945169,True,0.6194704166036066,38.553429592692126
wordalign,0,WA-C,0,0.08091820685728,0.0550504006003573,5.617560801853095,False,0.6618420490383354,230.21617191249743
wordalign,1,WA-C,0,0.090757283757662,0.063123420200095,5.431130494657588,False,0.6497244559982741,222.5759748296528
wordalign,2,WA-C,0,0.0857538998455579,0.0572712254955183,5.617128159467926,False,0.6491829063976245,230.1984415705868
wordalign,0,WA-G,0,1.0152959219645292,1.0159700351584826,0.9280232125630282,True,0.6264975779114456,38.03180045184767
wordalign,1,WA-G,0,1.010391290095188,1.0114163102091318,0.937102423394062,True,0.6194477468326065,38.40388029846322
wordalign,2,WA-G,0,1.0064672520615692,1.008141484167835,0.9295215582749607,True,0.6181269974459561,38.09320493435702
