target,held_out_model,candidate,rho,n_models
alpha,Qwen3-1.7B-Base,rmfs_tau_0.2,0.000209,13
alpha,Qwen3-1.7B-Base,rmfs_tau_0.5,-0.003181,13
alpha,Qwen3-1.7B-Base,rmfs_tau_1,-0.002228,13
alpha,Qwen3-1.7B-Base,rmfs_no_T,0.067622,13
alpha,Qwen3-1.7B-Base,rmfs_no_L,-0.056153,13
alpha,Qwen3-1.7B-Base,rmfs_no_K,0.045372,13
alpha,Qwen3-1.7B-Base,component_mean,-0.001423,13
alpha,Qwen3-4B-Base,q_T,-0.007532,13
alpha,Qwen3-4B-Base,q_L,0.154702,13
alpha,Qwen3-4B-Base,q_K,-0.036782,13
alpha,Qwen3-4B-Base,rmfs_tau_0.025,0.035200,13
alpha,Qwen3-4B-Base,rmfs_tau_0.05,0.033124,13
alpha,Qwen3-4B-Base,rmfs_tau_0.1,0.030299,13
alpha,Qwen3-4B-Base,rmfs_tau_0.2,0.022642,13
alpha,Qwen3-4B-Base,rmfs_tau_0.5,0.017411,13
alpha,Qwen3-4B-Base,rmfs_tau_1,0.016629,13
alpha,Qwen3-4B-Base,rmfs_no_T,0.072475,13
alpha,Qwen3-4B-Base,rmfs_no_L,-0.030574,13
alpha,Qwen3-4B-Base,rmfs_no_K,0.070926,13
alpha,Qwen3-4B-Base,component_mean,0.016999,13
alpha,Qwen3-8B-Base,q_T,-0.014390,13
alpha,Qwen3-8B-Base,q_L,0.160760,13
alpha,Qwen3-8B-Base,q_K,-0.038991,13
alpha,Qwen3-8B-Base,rmfs_tau_0.025,0.029815,13
alpha,Qwen3-8B-Base,rmfs_tau_0.05,0.027847,13
alpha,Qwen3-8B-Base,rmfs_tau_0.1,0.026752,13
alpha,Qwen3-8B-Base,rmfs_tau_0.2,0.022126,13
alpha,Qwen3-8B-Base,rmfs_tau_0.5,0.018778,13
alpha,Qwen3-8B-Base,rmfs_tau_1,0.018650,13
alpha,Qwen3-8B-Base,rmfs_no_T,0.076261,13
alpha,Qwen3-8B-Base,rmfs_no_L,-0.038074,13
alpha,Qwen3-8B-Base,rmfs_no_K,0.066322,13
alpha,Qwen3-8B-Base,component_mean,0.017325,13
alpha,SmolLM2-1.7B,q_T,-0.008761,13
alpha,SmolLM2-1.7B,q_L,0.183434,13
alpha,SmolLM2-1.7B,q_K,-0.026905,13
alpha,SmolLM2-1.7B,rmfs_tau_0.025,0.039182,13
alpha,SmolLM2-1.7B,rmfs_tau_0.05,0.037049,13
alpha,SmolLM2-1.7B,rmfs_tau_0.1,0.034358,13
alpha,SmolLM2-1.7B,rmfs_tau_0.2,0.028725,13
alpha,SmolLM2-1.7B,rmfs_tau_0.5,0.027237,13
alpha,SmolLM2-1.7B,rmfs_tau_1,0.027995,13
alpha,SmolLM2-1.7B,rmfs_no_T,0.090251,13
alpha,SmolLM2-1.7B,rmfs_no_L,-0.029866,13
alpha,SmolLM2-1.7B,rmfs_no_K,0.067339,13
alpha,SmolLM2-1.7B,component_mean,0.026127,13
alpha,bloom-1b7,q_T,-0.065133,13
alpha,bloom-1b7,q_L,0.131854,13
alpha,bloom-1b7,q_K,-0.035083,13
alpha,bloom-1b7,rmfs_tau_0.025,0.008724,13
alpha,bloom-1b7,rmfs_tau_0.05,0.008812,13
alpha,bloom-1b7,rmfs_tau_0.1,0.007483,13
alpha,bloom-1b7,rmfs_tau_0.2,-0.001377,13
alpha,bloom-1b7,rmfs_tau_0.5,-0.011178,13
