model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,language_share_total,0.5517643194676946,0.5517643194676946,0.5517643194676946,positive-diagonal invariant after coordinate standardization,0.0,0.0,5.527643194676945e-07,PASS,0.5517643194676946,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,concept_share_total,0.1466104343627466,0.1466104343627466,0.1466104343627466,positive-diagonal invariant after coordinate standardization,0.0,0.0,1.4761043436274662e-07,PASS,0.1466104343627466,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,residual_share_total,0.3016252461695587,0.3016252461695587,0.3016252461695587,positive-diagonal invariant after coordinate standardization,5.551115123125783e-17,1.840401356856323e-16,3.026252461695587e-07,PASS,0.3016252461695587,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,lfs_vc_reml,0.8303748739372657,0.8303748739372657,0.8303748739372657,positive-diagonal invariant after coordinate standardization,0.0,0.0,8.313748739372657e-07,PASS,0.8303748739372657,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,mexa_external,0.4963888888888889,0.4963888888888889,0.4963888888888889,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.973888888888889e-07,PASS,0.4963888888888889,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,aar10,-0.0654386339201006,-0.0654386339201006,-0.0654386339201006,positive-diagonal invariant after coordinate standardization,0.0,0.0,6.64386339201006e-08,PASS,-0.0654386339201006,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,mean_alignment_margin,0.0463792774024385,0.0463792774024385,0.0463792774024385,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.737927740243853e-08,PASS,0.0463792774024385,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,linear_cka,0.6149616663587253,0.6149616663587253,0.6149616663587253,positive-diagonal invariant after coordinate standardization,0.0,0.0,6.159616663587252e-07,PASS,0.6149616663587253,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,cvp_within_raw,917.9866737301612,917.986673730161,917.986673730161,positive-diagonal invariant after coordinate standardization,1.1368683772161605e-13,1.238436689496365e-16,0.0009179876737301,PASS,917.986673730161,2.2737367544323206e-13,2.47687337899273e-16
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,cpres_shared_raw,300.25816957490514,300.25816957490514,300.25816957490514,positive-diagonal invariant after coordinate standardization,0.0,0.0,0.0003002591695749,PASS,300.25816957490514,0.0,0.0
