model,preprocessing,metric,n_rank_levels,spearman_with_retained_rank,pvalue_descriptive
Falcon3-7B-Base,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,mean_norm,5,-0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
Falcon3-7B-Base,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,linear_cka,5,0.0,1.0
Mistral-7B-v0.3,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,raw,ss_language,5,-0.09999999999999999,0.8728885715695384
Mistral-7B-v0.3,raw,ss_residual,5,0.22360679774997894,0.7176856442107861
