preprocessing,metric,n_models,median_spearman,min_spearman,max_spearman
raw,aar10,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,concept_participation_ratio,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,concept_rank_covariance_entropy,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,concept_rank_singular_entropy,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,concept_share_total,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,cpres_shared_ratio,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,cpres_shared_raw,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,cvp_within_ratio,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,cvp_within_raw,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,language_share_total,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
raw,lfs_direct,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
raw,lfs_vc_reml,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
raw,linear_cka,14,0.0,-0.9999999999999999,0.6
raw,mean_alignment_margin,14,0.9999999999999999,0.8999999999999998,0.9999999999999999
raw,mean_norm,14,0.9999999999999999,-0.9999999999999999,0.9999999999999999
raw,mexa_external,14,0.9999999999999999,0.9486832980505138,0.9999999999999999
raw,residual_share_total,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
raw,ss_concept,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
raw,ss_language,14,0.0,-0.6,0.7181848464596079
raw,ss_residual,14,-0.14433756729740643,-0.8999999999999998,0.8207826816681233
standardized,aar10,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,concept_participation_ratio,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,concept_rank_covariance_entropy,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,concept_rank_singular_entropy,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,concept_share_total,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,cpres_shared_raw,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,cvp_within_raw,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,language_share_total,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,lfs_direct,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,lfs_vc_reml,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,linear_cka,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,mean_alignment_margin,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,mean_norm,14,-0.7999999999999998,-0.9999999999999999,0.9999999999999999
standardized,mexa_external,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,residual_share_total,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,ss_concept,14,0.9999999999999999,0.9999999999999999,0.9999999999999999
standardized,ss_language,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
standardized,ss_residual,14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
