model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity,retained_rank
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,lfs_vc_reml,0.9539707536425022,0.8303748739372657,,empirical,,,,EMPIRICAL,0.8303748739372657,0.12359587970523644,0.14884347248996124,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,mexa_external,0.2286111111111111,0.4963888888888889,,empirical,,,,EMPIRICAL,0.4963888888888889,-0.2677777777777778,-0.5394515948517068,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,aar10,-0.2150511500108311,-0.0654386339201006,,empirical,,,,EMPIRICAL,-0.0654386339201006,-0.1496125160907305,-2.2863025574984452,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,mean_alignment_margin,-0.1021524795386504,0.0463792774024385,,empirical,,,,EMPIRICAL,0.0463792774024385,-0.14853175694108892,-3.2025457329199245,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,linear_cka,0.6429016687256948,0.6149616663587253,,empirical,,,,EMPIRICAL,0.6149616663587253,0.027940002366969474,0.045433730093139245,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,cvp_within_raw,813.8166884342445,917.986673730161,,empirical,,,,EMPIRICAL,917.986673730161,-104.16998529591649,-0.1134765768141607,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,cpres_shared_raw,119.99614815174672,300.25816957490514,,empirical,,,,EMPIRICAL,300.25816957490514,-180.26202142315842,-0.6003567585800146,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,mean_norm,44.48980918842407,44.77553844043394,,empirical,,,,EMPIRICAL,44.77553844043394,-0.2857292520098724,-0.006381369425405916,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,concept_rank_covariance_entropy,7.874752855291748,103.42479712330974,,empirical,,,,EMPIRICAL,103.42479712330974,-95.550044268018,-0.9238601082687844,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,concept_rank_singular_entropy,8.708850784861177,238.10886316002012,,empirical,,,,EMPIRICAL,238.10886316002012,-229.40001237515895,-0.9634249197225034,9
EuroLLM-1.7B,14,13,300,2048,rank,concept_main_effect_projection,rank=9,standardized,concept_participation_ratio,6.916033683629214,42.69521387433855,,empirical,,,,EMPIRICAL,42.69521387433855,-35.77918019070933,-0.8380138414580933,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,lfs_direct,0.617486686567195,0.6063329368780566,,empirical,,,,EMPIRICAL,0.6063329368780566,0.011153749689138404,0.018395421080978823,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,ss_language,35745524.87453808,35745524.87453809,,empirical,,,,EMPIRICAL,35745524.87453809,-7.450580596923828e-09,-2.0843394027852016e-16,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,ss_concept,22143212.894463595,23208100.601570755,,empirical,,,,EMPIRICAL,23208100.601570755,-1064887.7071071602,-0.0458843110596947,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,ss_residual,22114766.137692865,22114766.137692854,,empirical,,,,EMPIRICAL,22114766.137692854,1.1175870895385742e-08,5.053578602550702e-16,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,language_share_total,0.4467994916351027,0.4409304805851421,,empirical,,,,EMPIRICAL,0.4409304805851421,0.005869011049960571,0.013310513353878436,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,concept_share_total,0.2767780386255144,0.2862780442485013,,empirical,,,,EMPIRICAL,0.2862780442485013,-0.009500005622986862,-0.03318454144090932,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,residual_share_total,0.2764224697393828,0.2727914751663566,,empirical,,,,EMPIRICAL,0.2727914751663566,0.0036309945730261806,0.013310513353879144,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,lfs_vc_reml,0.6546630426551977,0.6432031440750837,,empirical,,,,EMPIRICAL,0.6432031440750837,0.01145989858011398,0.01781691940668782,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,mexa_external,0.0072222222222222,0.0152777777777777,,empirical,,,,EMPIRICAL,0.0152777777777777,-0.0080555555555555,-0.5272727272727263,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,aar10,-0.1249173341436346,-0.1095511589168859,,empirical,,,,EMPIRICAL,-0.1095511589168859,-0.015366175226748699,-0.1402648349745591,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,mean_alignment_margin,-0.0514609030122366,-0.0367142325944782,,empirical,,,,EMPIRICAL,-0.0367142325944782,-0.0147466704177584,-0.40166086489238756,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,linear_cka,0.5305324117870954,0.5305569748190281,,empirical,,,,EMPIRICAL,0.5305569748190281,-2.4563031932656187e-05,-4.629669026787291e-05,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,cvp_within_raw,11348.199751834982,11621.24788186246,,empirical,,,,EMPIRICAL,11621.24788186246,-273.0481300274787,-0.023495594690276848,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,cpres_shared_raw,5677.746896016308,5950.795026043784,,empirical,,,,EMPIRICAL,5950.795026043784,-273.04813002747596,-0.045884311059694524,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,mean_norm,205.402953312858,205.93961868725765,,empirical,,,,EMPIRICAL,205.93961868725765,-0.5366653743996608,-0.0026059355544143605,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,concept_rank_covariance_entropy,1.773335926525636,2.6009988679271703,,empirical,,,,EMPIRICAL,2.6009988679271703,-0.8276629414015342,-0.3182096507643345,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,concept_rank_singular_entropy,4.631520580543714,109.36686757244424,,empirical,,,,EMPIRICAL,109.36686757244424,-104.73534699190053,-0.95765152021497,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,concept_participation_ratio,1.3726996336733233,1.507836646255318,,empirical,,,,EMPIRICAL,1.507836646255318,-0.13513701258199484,-0.08962311197144922,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,cvp_within_ratio,0.9765044053097232,1.0,,empirical,,,,EMPIRICAL,1.0,-0.023495594690276844,-0.023495594690276844,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,raw,cpres_shared_ratio,0.9541156889403056,1.0,,empirical,,,,EMPIRICAL,1.0,-0.04588431105969437,-0.04588431105969437,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,lfs_direct,0.8810200832161249,0.7682529162600981,,empirical,,,,EMPIRICAL,0.7682529162600981,0.11276716695602684,0.14678391005007085,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,ss_language,6170458.805668305,5713311.641907413,,empirical,,,,EMPIRICAL,5713311.641907413,457147.1637608921,0.0800143931249428,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,ss_concept,833307.5365736535,1723447.1662727916,,empirical,,,,EMPIRICAL,1723447.1662727916,-890139.6296991381,-0.5164879127824941,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,ss_residual,4977033.657758029,4544041.191819805,,empirical,,,,EMPIRICAL,4544041.191819805,432992.46593822446,0.09528797113848762,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,language_share_total,0.5150289467872188,0.4768722991709576,,empirical,,,,EMPIRICAL,0.4768722991709576,0.0381566476162612,0.08001439312494461,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,concept_share_total,0.0695535804431802,0.1438507584028437,,empirical,,,,EMPIRICAL,0.1438507584028437,-0.0742971779596635,-0.5164879127824936,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,residual_share_total,0.4154174727696009,0.3792769424261987,,empirical,,,,EMPIRICAL,0.3792769424261987,0.0361405303434022,0.0952879711384896,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,lfs_vc_reml,0.9379754547996078,0.8206284109520683,,empirical,,,,EMPIRICAL,0.8206284109520683,0.11734704384753947,0.1429965649268674,9
