model,layer,n_languages,n_concepts,raw_lfs,depth_from_layer0,analytic_null,excess_over_null,var_language_share_total,var_concept_share_total,residual_share_total
EuroLLM-1.7B,0,128,300,0.9506726202154856,0.0,0.2981220657276995,0.6525505544877861,0.6311570472664318,0.032748732541731454,0.33609422019183677
EuroLLM-1.7B,1,128,300,0.9769654796366966,-0.026292859421210957,0.2981220657276995,0.678843413908997,0.8054739096302072,0.018991157374758223,0.17553493299503464
EuroLLM-1.7B,2,128,300,0.9691821586336925,-0.018509538418206906,0.2981220657276995,0.671060092905993,0.7800790174795261,0.024804781226843875,0.19511620129362997
EuroLLM-1.7B,3,128,300,0.964437545580144,-0.013764925364658454,0.2981220657276995,0.6663154798524445,0.7582650605197876,0.02796009630326388,0.2137748431769485
EuroLLM-1.7B,4,128,300,0.9631300438664151,-0.0124574236509295,0.2981220657276995,0.6650079781387156,0.7505937706492517,0.02873377232308456,0.2206724570276637
EuroLLM-1.7B,5,128,300,0.9610009363847256,-0.010328316169240015,0.2981220657276995,0.6628788706570261,0.747753535005112,0.030345118902710543,0.2219013460921775
EuroLLM-1.7B,6,128,300,0.9505731489116825,9.947130380305591e-05,0.2981220657276995,0.652451083183983,0.7311750955339805,0.03801883380339633,0.2308060706626231
EuroLLM-1.7B,7,128,300,0.9415545742687293,0.009118045946756248,0.2981220657276995,0.6434325085410298,0.7247407805834173,0.044987072044027805,0.23027214737255486
EuroLLM-1.7B,8,128,300,0.92050600024869,0.030166619966795594,0.2981220657276995,0.6223839345209905,0.7019566195682242,0.06062028854381306,0.23742309188796282
EuroLLM-1.7B,9,128,300,0.9105435241487068,0.040129096066778835,0.2981220657276995,0.6124214584210073,0.6890636989235674,0.06769715945252483,0.2432391416239077
EuroLLM-1.7B,10,128,300,0.9084139819420403,0.04225863827344534,0.2981220657276995,0.6102919162143408,0.6894356531770206,0.06950869035137833,0.2410556564716011
EuroLLM-1.7B,11,128,300,0.8871260090044528,0.06354661121103278,0.2981220657276995,0.5890039432767533,0.6554173453453921,0.08339240512163805,0.2611902495329698
EuroLLM-1.7B,12,128,300,0.875960173213384,0.07471244700210156,0.2981220657276995,0.5778381074856845,0.6340463360584507,0.08978375970093368,0.2761699042406156
EuroLLM-1.7B,13,128,300,0.8659975849087755,0.08467503530671006,0.2981220657276995,0.567875519181076,0.6171343050481771,0.09549390062191865,0.28737179432990423
EuroLLM-1.7B,14,128,300,0.8538657398581722,0.09680688035731344,0.2981220657276995,0.5557436741304727,0.5942266537596084,0.10169850873527045,0.30407483750512115
EuroLLM-1.7B,15,128,300,0.8802338694704414,0.07043875074504424,0.2981220657276995,0.5821118037427419,0.6413049728259778,0.08725705491307532,0.2714379722609469
EuroLLM-1.7B,16,128,300,0.8769750022504718,0.07369761796501384,0.2981220657276995,0.5788529365227723,0.6331662366360876,0.08882268552391914,0.27801107783999324
EuroLLM-1.7B,17,128,300,0.8696102289218457,0.0810623912936399,0.2981220657276995,0.5714881631941462,0.6116846742297978,0.09171629080734599,0.2965990349628563
EuroLLM-1.7B,18,128,300,0.8650399376950251,0.08563268252046052,0.2981220657276995,0.5669178719673256,0.6033827438336992,0.09413735615320493,0.30247990001309594
EuroLLM-1.7B,19,128,300,0.9094858202051379,0.04118680001034769,0.2981220657276995,0.6113637544774384,0.6863279253107016,0.06830497831818379,0.24536709637111456
EuroLLM-1.7B,20,128,300,0.923160716692059,0.027511903523426584,0.2981220657276995,0.6250386509643595,0.7001096006990032,0.05827362341357623,0.24161677588742056
EuroLLM-1.7B,21,128,300,0.922074137843185,0.02859848237230056,0.2981220657276995,0.6239520721154855,0.6835998225092078,0.05777204169708015,0.258628135793712
EuroLLM-1.7B,22,128,300,0.9257715836271495,0.02490103658833609,0.2981220657276995,0.62764951789945,0.6777466900130553,0.054341766793602135,0.26791154319334254
EuroLLM-1.7B,23,128,300,0.9296630776843989,0.021009542531086667,0.2981220657276995,0.6315410119566994,0.6694148363460934,0.05064692841009031,0.2799382352438162
EuroLLM-1.7B,24,128,300,0.9365125362545128,0.014160083960972791,0.2981220657276995,0.6383904705268133,0.6900364293169551,0.046778511865451344,0.2631850588175936
Falcon3-7B-Base,0,128,300,0.9667221229242866,0.0,0.2981220657276995,0.6686000571965871,0.6465521766516871,0.02225653406230666,0.3311912892860063
Falcon3-7B-Base,1,128,300,0.9624211127404286,0.004301010183857978,0.2981220657276995,0.6642990470127291,0.7285371039566848,0.028446605474028896,0.24301629056928628
Falcon3-7B-Base,2,128,300,0.8809228542585154,0.08579926866577126,0.2981220657276995,0.5828007885308158,0.5853284853730253,0.07912071417204058,0.33555080045493413
Falcon3-7B-Base,3,128,300,0.9017902766353942,0.06493184628889237,0.2981220657276995,0.6036682109076947,0.6005473998082606,0.06540278325306095,0.33404981693867847
Falcon3-7B-Base,4,128,300,0.9203910271306169,0.046331095793669674,0.2981220657276995,0.6222689614029174,0.636552577172646,0.055058442935995135,0.3083889798913588
Falcon3-7B-Base,5,128,300,0.9423729557776013,0.024349167146685335,0.2981220657276995,0.6442508900499018,0.6971305860990697,0.04263022921829127,0.260239184682639
Falcon3-7B-Base,6,128,300,0.9329900845987266,0.03373203832556004,0.2981220657276995,0.6348680188710271,0.6889920687632087,0.04948530643798655,0.26152262479880467
Falcon3-7B-Base,7,128,300,0.9115211414060548,0.05520098151823183,0.2981220657276995,0.6133990756783553,0.6483787577921775,0.0629363487252967,0.2886848934825259
Falcon3-7B-Base,8,128,300,0.8979202541548525,0.06880186876943406,0.2981220657276995,0.599798188427153,0.6231515347690753,0.07084276136761535,0.30600570386330944
Falcon3-7B-Base,9,128,300,0.8750022545349722,0.09171986838931445,0.2981220657276995,0.5768801888072727,0.579762789866931,0.08282154847291841,0.3374156616601507
Falcon3-7B-Base,10,128,300,0.8658494941332677,0.10087262879101888,0.2981220657276995,0.5677274284055682,0.5620625219483966,0.08708323116084574,0.35085424689075767
Falcon3-7B-Base,11,128,300,0.8404592808092486,0.12626284211503802,0.2981220657276995,0.5423372150815491,0.5335518540601022,0.1012818211018449,0.3651663248380529
Falcon3-7B-Base,12,128,300,0.8416466874283475,0.12507543549593914,0.2981220657276995,0.543524621700648,0.5333821582495291,0.10035426133916908,0.36626358041130186
Falcon3-7B-Base,13,128,300,0.8263186485453983,0.14040347437888834,0.2981220657276995,0.5281965828176988,0.5131554187057936,0.10785854438111188,0.3789860369130945
Falcon3-7B-Base,14,128,300,0.834901104921373,0.13182101800291357,0.2981220657276995,0.5367790391936735,0.5220886375678512,0.10324127814356591,0.37467008428858295
