injection,magnitude,component,expectation,value_base,value_inj,delta,threshold,passed,note
uniform_collapse,0.1,q_L,band,0.268459,0.268459,0.000000,0.038149,True,
uniform_collapse,0.1,q_K,band,0.600000,0.600000,0.000000,0.000000,True,
uniform_collapse,0.1,C_pres,exact,1.000000,0.810000,-0.190000,0.010000,True,expected=0.8100
uniform_collapse,0.1,RMFS,down_mag,0.149429,0.163928,0.014499,0.013264,False,monotone=True
collapse_per_language,0.5,T,down,0.019012,0.026883,0.007871,0.015304,False,
collapse_per_language,0.5,q_L,up,0.268459,0.265997,-0.002462,0.038149,False,
collapse_per_language,0.5,q_K,band,0.600000,0.600000,0.000000,0.000000,True,
collapse_per_language,0.5,C_pres,exact,1.000000,0.250000,-0.750000,0.010000,True,expected=0.2500
collapse_per_language,0.5,RMFS,down,0.149429,0.156453,0.007024,0.013264,False,
pairing_permutation,-,T,down,0.019012,0.003935,-0.015077,0.015304,False,
pairing_permutation,-,q_L,down,0.268459,0.000414,-0.268046,0.038149,True,
pairing_permutation,-,q_K,down,0.600000,0.000000,-0.600000,0.000000,True,
pairing_permutation,-,C_pres,band,1.000000,0.000960,-0.999040,0.737608,False,
pairing_permutation,-,RMFS,down,0.149429,0.001315,-0.148114,0.013264,True,
