flores_code,model,fertility
hun_Latn,Qwen3-4B-Base,1.8957
hun_Latn,Qwen3-8B-Base,1.8957
hye_Armn,Qwen3-0.6B-Base,4.5443
hye_Armn,Qwen3-1.7B-Base,4.5443
hye_Armn,Qwen3-4B-Base,4.5443
hye_Armn,Qwen3-8B-Base,4.5443
ibo_Latn,Qwen3-0.6B-Base,2.177
ibo_Latn,Qwen3-1.7B-Base,2.177
ibo_Latn,Qwen3-4B-Base,2.177
ibo_Latn,Qwen3-8B-Base,2.177
ind_Latn,Qwen3-0.6B-Base,1.3162
ind_Latn,Qwen3-1.7B-Base,1.3162
ind_Latn,Qwen3-4B-Base,1.3162
ind_Latn,Qwen3-8B-Base,1.3162
isl_Latn,Qwen3-0.6B-Base,2.027
isl_Latn,Qwen3-1.7B-Base,2.027
isl_Latn,Qwen3-4B-Base,2.027
isl_Latn,Qwen3-8B-Base,2.027
ita_Latn,Qwen3-0.6B-Base,1.3051
ita_Latn,Qwen3-1.7B-Base,1.3051
ita_Latn,Qwen3-4B-Base,1.3051
ita_Latn,Qwen3-8B-Base,1.3051
jpn_Jpan,Qwen3-0.6B-Base,3.1242
jpn_Jpan,Qwen3-1.7B-Base,3.1242
jpn_Jpan,Qwen3-4B-Base,3.1242
jpn_Jpan,Qwen3-8B-Base,3.1242
kan_Knda,Qwen3-0.6B-Base,6.3937
kan_Knda,Qwen3-1.7B-Base,6.3937
kan_Knda,Qwen3-4B-Base,6.3937
kan_Knda,Qwen3-8B-Base,6.3937
kat_Geor,Qwen3-0.6B-Base,4.4992
kat_Geor,Qwen3-1.7B-Base,4.4992
kat_Geor,Qwen3-4B-Base,4.4992
kat_Geor,Qwen3-8B-Base,4.4992
kaz_Cyrl,Qwen3-0.6B-Base,2.7857
kaz_Cyrl,Qwen3-1.7B-Base,2.7857
kaz_Cyrl,Qwen3-4B-Base,2.7857
kaz_Cyrl,Qwen3-8B-Base,2.7857
khk_Cyrl,Qwen3-0.6B-Base,2.8953
khk_Cyrl,Qwen3-1.7B-Base,2.8953
khk_Cyrl,Qwen3-4B-Base,2.8953
khk_Cyrl,Qwen3-8B-Base,2.8953
khm_Khmr,Qwen3-0.6B-Base,5.2412
khm_Khmr,Qwen3-1.7B-Base,5.2412
khm_Khmr,Qwen3-4B-Base,5.2412
khm_Khmr,Qwen3-8B-Base,5.2412
kin_Latn,Qwen3-0.6B-Base,1.7992
kin_Latn,Qwen3-1.7B-Base,1.7992
kin_Latn,Qwen3-4B-Base,1.7992
kin_Latn,Qwen3-8B-Base,1.7992
kir_Cyrl,Qwen3-0.6B-Base,2.5432
kir_Cyrl,Qwen3-1.7B-Base,2.5432
kir_Cyrl,Qwen3-4B-Base,2.5432
kir_Cyrl,Qwen3-8B-Base,2.5432
kor_Hang,Qwen3-0.6B-Base,3.2567
