checkpoint,arm,seed,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
ckpt_armADV-CVP_seed0,ADV-CVP,0,c34f8b2ee6d5617ea4c6b1d3e744bb03f90630fc555f9781cfa6c999ba2b0d39,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.49385961030741,-0.10631368645798127,-0.6009380654253095,1.009055140036708,1.0166180883574498,0.3963042020096647,True,0.50614038969259,1187967.8391478723,1159143.4828104437,1646488.678041683,0.2974679084404729,0.29025027113642926,0.4122818204230978,15643.825879933585,11144.880469592328,7160.121567008483,4498.945410341259,189.92281882549074,16.24114798533301
ckpt_armADV-CVP_seed1,ADV-CVP,1,2956018a61a4f0351cd94972fba7bb97ee8bb213b9ce8a0c2c76987d8288d4c3,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.49599983046480467,-0.07410575900279667,-0.5574028123361502,0.9985766638742111,0.9979878519401764,0.4111072194569479,True,0.5040001695351953,1186241.2306027156,1167411.21300004,1639947.5563972432,0.29703556455396535,0.29232051607573123,0.41064391937030337,15481.373452837111,10940.642752037813,7323.673689113439,4540.730700799298,190.98879828178343,16.847798118669044
ckpt_armADV-CVP_seed2,ADV-CVP,2,c742305435ecadfff5b16e23c24ad173b13136395c7f3c15fca05b4ef9c88484,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.5038638812037869,-0.10096344744693501,-0.5601831220783805,1.0305958340102868,1.0363939342274637,0.42109390105606,True,0.4961361187962131,1148395.1402358823,1166282.4184596238,1678922.4413044953,0.2875588792657957,0.2920378651992246,0.4204032555349796,15977.780737785399,11361.677161418345,7424.793757319961,4616.103576367052,192.17881823336995,17.25706749535263
ckpt_armADV_seed0,ADV,0,81e05f7a1aa1249c7f96e88354a6f64f9352bae1fd6c1056b0a7689f20c3c454,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.459256585298333,-0.04119661568849484,-0.4592770850726177,0.49709598653609605,0.45528714774396817,0.617468919720183,False,0.540743414701667,1214229.3944464298,1031252.2174125534,1748118.388141017,0.30404381872156194,0.2582262162992171,0.437729964979221,7706.697830905057,4991.177020218483,3092.2065656092777,2715.5208106865734,135.3346513995289,25.30481395520161
ckpt_armADV_seed1,ADV,1,f968e958dd06f16b06f1b0ca95e1ec3bd3a267e8304a053732afaaa87db919ca,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4544644258461038,-0.03580586168987079,-0.44266595516765034,0.45056415967675745,0.3784075363557361,0.7055453218314821,False,0.5455355741538962,1183113.6568871879,985605.8784467813,1824880.4646660313,0.2962524180907421,0.24679634376171405,0.45695123814754385,6985.2944423486815,4148.368802183616,2696.7404818411355,2836.925640165066,127.54147976156635,28.91431865752728
ckpt_armADV_seed2,ADV,2,a3411c0399e75a8b4784df7352593a1c3bdaf0210367fc7e81960a5be630b4f0,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4618157114226692,-0.050497288478968144,-0.49001086564152163,0.5042028853240349,0.45961570138096347,0.6188028416864438,False,0.5381842885773308,1214899.8239335003,1042505.0273768948,1736195.1486896062,0.3042116946948868,0.2610439271276278,0.4347443781774854,7816.879210270294,5038.62966093283,2890.169207791744,2778.249549337463,133.12157804374962,25.359480102936274
ckpt_armB_seed0,B,0,51b770d729a4d2a6ab3a008351ef4c47c1dc394d67648dfc10e9f52d7c15c8b8,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3787423461367747,0.03240088122827114,-0.2189898730339932,0.9529819541092845,0.9485271905800021,1.0192161807485436,True,0.6212576538632253,1532512.487621918,934278.0268967374,1526809.485481347,0.3837421092803278,0.233943816831114,0.3823140738885582,14774.498602982354,10398.420293949592,7312.9108505411505,4376.078309032763,187.20721107307696,41.7690267643928
ckpt_armB_seed1,B,1,e568ba14666e938c595509fdf68ee85672228d6beaf666aee05f1ef8c4fd83ef,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.37501097223714674,0.031281840657448844,-0.22957493847669083,0.95949723990007,0.957625193914114,1.0034399932892395,True,0.6249890277628533,1543733.4791513644,926283.4500692249,1523583.0707794104,0.3865518527522447,0.23194196966877628,0.381506177578979,14875.50794570801,10498.158987203078,7293.940742629231,4377.34895850493,186.9554516182292,41.12249464620783
ckpt_armB_seed2,B,2,689a3233b7a0de7919821c75a28a624d13a0d0e0055ba2a8d5c9de31ca2f0366,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3807563426900473,0.03563078389529097,-0.2136608536592445,0.9706662731235556,0.9693501062101478,1.0012596434448073,True,0.6192436573099527,1528046.8684664627,939555.1011757113,1525998.030357825,0.38262391538122575,0.23526519961330916,0.3821108850054651,15048.666382806945,10626.69569882787,7384.082723115295,4421.970683979075,188.00949246740035,41.03314059872701
ckpt_armCS-B_s2000_seed0,CS-B_s2000,0,878a8edd2faac60fba90486e32189b079482a1ac3fede74d787d9229a906409e,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3772521289584053,0.03710149097180745,-0.2086487684360343,0.8489479627810149,0.839533938972493,1.149314342149539,False,0.6227478710415947,1542523.3421856256,934439.5089368268,1516637.1488775476,0.3862488336802949,0.23398425203746664,0.37976691428223847,13161.613854310677,9203.559829563688,6361.786831548471,3958.0540247469853,176.6250071629028,47.10064697235057
