study,seed,arm,is_control,trained_lfs,trained_mexa,trained_aar10,heldout_lfs,heldout_mexa,heldout_aar10,cvp_vs_frozen,ppl_geomean_ratio_vs_control,context_trained,context_heldout,delta_mexa_vs_control,delta_aar10_vs_control,delta_context_trained_vs_control,delta_context_heldout_vs_control,checkpoint,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
original,0,A,0,0.44456918453047795,0.4444444444444444,-0.09022118772069614,0.5001732209757385,0.5662499999999999,-0.09214922529645264,1.0,0.6839676392872793,0.29948310057322186,0.5661796530087789,0.036666666666666625,0.004336262742678315,-0.022438728809356656,0.0020405941539340944,Qwen3-0.6B-Base,babeeddbc725dd6b3d817a0b53489570834f6123286e97ea57935c8b72cb5cdb,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.39092226392623697,0.040464773070830344,-0.19499514186792696,1.0,1.0,1.0,True,0.609077736073763,1464256.6155364735,939798.7764326446,1589544.6080308822,0.3666507951563685,0.23532621605384726,0.39802298878978415,15503.440059147299,10962.701330249902,7493.574007113291,4540.738728897399,190.97729061969892,40.981518497593264
original,0,B,1,0.47021067644088643,0.4077777777777778,-0.09455745046337445,0.5224173119650629,0.5516666666666666,-0.08815169974695891,0.9576933183902197,1.0,0.3219218293825785,0.5641390588548448,0.0,0.0,0.0,0.0,ckpt_armB_seed0,51b770d729a4d2a6ab3a008351ef4c47c1dc394d67648dfc10e9f52d7c15c8b8,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3787423461367747,0.03240088122827114,-0.2189898730339932,0.9529819541092845,0.9485271905800021,1.0192161807485436,True,0.6212576538632253,1532512.487621918,934278.0268967374,1526809.485481347,0.3837421092803278,0.233943816831114,0.3823140738885582,14774.498602982354,10398.420293949592,7312.9108505411505,4376.078309032763,187.20721107307696,41.7690267643928
original,0,C,0,0.3590617684234311,0.44222222222222224,-0.14112453504155079,0.4455188198379164,0.5275000000000001,-0.17013602936640382,0.8633488271244281,1.0369241103727276,0.31287598345014783,0.5470354795455933,0.034444444444444444,-0.046567084578176335,-0.009045845932430685,-0.01710357930925155,ckpt_armC_seed0,cb8040d720b8d8ada99974651e43f20cb5afddb8ee40f81edfef573b6e0db4d8,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.44590976719720354,0.012344948547058235,-0.29438003638176363,0.9711795977564553,0.9484816028819917,1.1075073224830698,True,0.5540902328027965,1300131.9176902545,1046294.4235821752,1647173.6587275697,0.32555386560753574,0.2619927943665303,0.41245334002593403,15056.62468048399,10397.920529631969,3709.277634010009,4658.704150852022,169.82157961820857,45.387331822559915
original,0,D,0,0.15538644990484674,0.48666666666666664,-0.1921070198295638,0.21089061975903797,0.55875,-0.19287245604209602,0.22919689284825853,1.0713869479585263,0.3158996462821961,0.561245878537496,0.07888888888888884,-0.09754956936618935,-0.006022183100382439,-0.0028931803173488646,ckpt_armD_seed0,b5bd502fe349fe63e297df4a49753dd11b392b1b79e4faee691bfdc31d933c67,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7455610957942409,0.01211506844045012,-0.44959720044726664,0.3573198244386665,0.3224549081760891,5.0357659047778975,False,0.25443890420575904,658738.3619112286,1930246.0701963776,1404615.5678923947,0.16494850809075232,0.4833348533143973,0.35171663859485036,5539.6864801299025,3534.9768508076218,2305.8374404581596,2004.7096293222805,111.78141531650604,206.37333357620489
original,0,E,0,0.18171202124539754,0.40444444444444444,-0.25878231475750607,0.21336381239803812,0.49,-0.22611815785057843,0.8572150646356702,1.0700978498931508,0.31454012129041886,0.5595591147740683,-0.003333333333333355,-0.16422486429413163,-0.007381708092159656,-0.004579944080776555,ckpt_armE_seed0,b133059534dfb280b68008eaaabf4e1ca4e7ca29579bcafb4a009457eb64ec08,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7353558818353306,-0.012037553459453095,-0.4789458071106127,0.8763534097303397,0.8713037006797499,3.1426330356492387,False,0.2646441181646694,696565.4035058945,1935518.0462856137,1361516.5502084915,0.17442042355416026,0.484654959506614,0.34092461693922566,13586.492558383674,9551.842238493557,6115.706459184813,4034.6503198901178,173.62422049863665,128.78987388160695
original,0,F,0,0.11078745713323393,0.4733333333333334,-0.2425331107030312,0.164773900686928,0.5420833333333334,-0.25411039777100086,0.902588308838103,1.0646277776169843,0.29222580591837566,0.5386045098304749,0.06555555555555559,-0.14797566023965675,-0.02969602346420286,-0.025534549024369912,ckpt_armF_seed0,849b5dfda47ee5f8ad64609140bc81d31a7f4cbfbc3905c2565791dd9bc237c5,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7866550466499704,-0.013520632326944918,-0.5527932345282728,0.9920395473062849,0.9708209987105479,3.159348501203496,True,0.2133449533500296,564716.0962147011,2082246.4278445665,1346637.4759407307,0.14140527248965878,0.5213958403056309,0.33719888720471036,15380.025657966607,10642.820653998662,3534.361059679282,4737.205003967943,168.90038580137727,129.47489904241462
original,1,A,0,0.44456918453047795,0.4444444444444444,-0.09022118772069614,0.5001732209757385,0.5662499999999999,-0.09214922529645264,1.0,0.692759462987756,0.29948310057322186,0.5661796530087789,0.025555555555555554,0.010539377729097993,0.008857439623938701,0.026878052287631626,Qwen3-0.6B-Base,babeeddbc725dd6b3d817a0b53489570834f6123286e97ea57935c8b72cb5cdb,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.39092226392623697,0.040464773070830344,-0.19499514186792696,1.0,1.0,1.0,True,0.609077736073763,1464256.6155364735,939798.7764326446,1589544.6080308822,0.3666507951563685,0.23532621605384726,0.39802298878978415,15503.440059147299,10962.701330249902,7493.574007113291,4540.738728897399,190.97729061969892,40.981518497593264
original,1,B,1,0.46845935177759823,0.41888888888888887,-0.10076056544979413,0.5260700096665037,0.5520833333333333,-0.09044603852089494,0.9462198735150918,1.0,0.29062566094928316,0.5393016007211473,0.0,0.0,0.0,0.0,ckpt_armB_seed1,e568ba14666e938c595509fdf68ee85672228d6beaf666aee05f1ef8c4fd83ef,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.37501097223714674,0.031281840657448844,-0.22957493847669083,0.95949723990007,0.957625193914114,1.0034399932892395,True,0.6249890277628533,1543733.4791513644,926283.4500692249,1523583.0707794104,0.3865518527522447,0.23194196966877628,0.381506177578979,14875.50794570801,10498.158987203078,7293.940742629231,4377.34895850493,186.9554516182292,41.12249464620783
original,1,C,0,0.36685366501357336,0.4177777777777778,-0.14436235434065262,0.4509316891505177,0.53375,-0.1623462347779423,0.9038260229552455,1.0321326313162271,0.2807072851392958,0.5327017042371961,-0.0011111111111110628,-0.04360178889085849,-0.009918375809987334,-0.006599896483951206,ckpt_armC_seed1,b3cfa194d52e96130e0899967e30f1025f899a830ed034c7b3291e31e9125312,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.43690661451060886,0.01699727408084621,-0.2790848596380465,0.97622172686389,0.9404165620880738,1.0864742152568954,True,0.5630933854893911,1329886.680907606,1031864.8778534429,1631848.4412389528,0.33300447739072647,0.25837962686634675,0.40861589574292667,15134.795026871585,10309.505896191966,4031.6012520292807,4825.28913067962,175.97277639286068,44.52536314970858
original,1,D,0,0.1527147555513845,0.5033333333333333,-0.17799560896431407,0.21143038049868704,0.5645833333333333,-0.18025404796935618,0.2295857895775535,1.0540230239183015,0.290147864818573,0.5458619912465413,0.08444444444444443,-0.07723504351451994,-0.0004777961307101397,0.006560390525394033,ckpt_armD_seed1,9c3c9ad1c225f61b2291e050db9405153bf424d3a656cd75f680a7bbca073d4f,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7423439358739492,0.015099025298546053,-0.4289755305307444,0.35531303481430737,0.3181518057321845,4.901239779290922,False,0.25765606412605085,668237.2636453956,1925287.0374883816,1400075.6988662216,0.16732703917402741,0.4820931083454483,0.35057985248052437,5508.574337477332,3487.8032239216273,2239.3403694775534,2020.7711135557045,111.84543262689377,200.86024867615083
