candidate,target,rho,ci_lo,ci_hi,p_two_sided,n_models,n_boot_requested,n_boot_effective
q_L,median_R_content,0.7701754385964912,0.43963329824825204,0.9411803921568627,0.0005,19,2000,2000
q_L,median_content,0.7859649122807018,0.47246891651865014,0.9306682060390763,0.0005,19,2000,2000
