model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
bloom-7b1,0,1729,0,4096,0.562477130637645,0.7119079525985827,0.8002416797398816,0.8645818987733276,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549458,0.46046625724728085,0.8599247294191039,0.0,0.0
bloom-7b1,0,1729,1,4096,0.5636096113438228,0.7170172270072855,0.8000536190519838,0.8674486740048716,0.9308205491408487,0.9775390625,0.657470703125,0.133056640625,1.0,0.5853067295200087,0.4484141783028667,0.8599247294191039,0.0,0.0
bloom-7b1,0,1729,4,4096,0.5729109042630018,0.7273816041393367,0.8088551698009481,0.8697624565748527,0.926345659836779,0.982421875,0.695556640625,0.13037109375,1.0,0.5584167497636565,0.4183310007382534,0.8599247294191039,0.0,0.0
bloom-7b1,0,1729,16,4096,0.631788658851256,0.7629719527646076,0.831019650250073,0.8841486995237737,0.9280632264191984,0.989990234375,0.780517578125,0.167724609375,1.0,0.42771073867174825,0.22800686958467567,0.8599247294191039,0.0,2.934871995009772e-16
bloom-7b1,0,2718,0,4096,0.562477130637645,0.7119079525985827,0.8002416797398816,0.8645818987733276,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549458,0.46046625724728085,0.8599247294191039,0.0,0.0
bloom-7b1,0,2718,1,4096,0.5656505667938045,0.7202692008413101,0.8007834218528912,0.8661101513221457,0.9318134395907838,0.97705078125,0.6669921875,0.126953125,1.0,0.5822664810883311,0.44909343840112415,0.8599247294191039,0.0,1.467435997504886e-16
bloom-7b1,0,2718,4,4096,0.5772416910048273,0.7267250198515386,0.807241251838083,0.8675032400085358,0.9298433324005337,0.983642578125,0.68798828125,0.13134765625,1.0,0.5600922586418318,0.422076110290692,0.8599247294191039,0.0,0.0
bloom-7b1,0,2718,16,4096,0.6249260521427759,0.7635975145633179,0.8357447370465083,0.8841183618267916,0.9290331761928341,0.9921875,0.77978515625,0.175537109375,1.0,0.4166500141881735,0.21409743143221915,0.8599247294191039,0.0,0.0
bloom-7b1,0,3141,0,4096,0.562477130637645,0.7119079525985827,0.8002416797398816,0.8645818987733276,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549458,0.46046625724728085,0.8599247294191039,0.0,0.0
bloom-7b1,0,3141,1,4096,0.5700705463162684,0.7138863105199851,0.7998577524886524,0.8659817960474712,0.9324891055941178,0.981689453125,0.6591796875,0.12841796875,1.0,0.5861685732610669,0.45041248324703664,0.8599247294191039,0.0,1.467435997504886e-16
bloom-7b1,0,3141,4,4096,0.5750926135324619,0.7262210919923064,0.8108561061805077,0.8692327543304863,0.9290128438942779,0.981689453125,0.69140625,0.131103515625,1.0,0.5587206076694844,0.41874113393294193,0.8599247294191039,0.0,0.0
bloom-7b1,0,3141,16,4096,0.6364486584017364,0.7611552696444512,0.8331977384880447,0.8835519632086255,0.9304403303944373,0.9921875,0.77880859375,0.16748046875,1.0,0.42612733993222984,0.22877529113180592,0.8599247294191039,0.0,0.0
bloom-7b1,0,5772,0,4096,0.562477130637645,0.7119079525985827,0.8002416797398816,0.8645818987733276,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549458,0.46046625724728085,0.8599247294191039,0.0,0.0
bloom-7b1,0,5772,1,4096,0.5773160949775884,0.7149454744564812,0.7992764355765705,0.8651252252648854,0.9346137602045125,0.98095703125,0.658203125,0.13232421875,1.0,0.5868239329460689,0.44986384339330854,0.8599247294191039,0.0,1.467435997504886e-16
bloom-7b1,0,5772,4,4096,0.5854134921925739,0.728226037868293,0.8080068229106212,0.869732676507497,0.9300099809028435,0.98388671875,0.68603515625,0.134521484375,1.0,0.5594249980698804,0.41868828108093037,0.8599247294191039,0.0,0.0
bloom-7b1,0,5772,16,4096,0.6248142267793467,0.7617233601748055,0.83147332355426,0.8834754571030472,0.9298033021529017,0.99169921875,0.77783203125,0.16259765625,1.0,0.4296935589776838,0.22802425681193808,0.8599247294191039,0.0,0.0
bloom-7b1,0,8111,0,4096,0.562477130637645,0.7119079525985827,0.8002416797398816,0.8645818987733276,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549458,0.46046625724728085,0.8599247294191039,0.0,0.0
bloom-7b1,0,8111,1,4096,0.5624565353117948,0.7157200788209257,0.8003474164476458,0.8656564164900608,0.9316609419454758,0.982421875,0.659912109375,0.125732421875,1.0,0.5868264523400568,0.45006523503810353,0.8599247294191039,0.0,0.0
bloom-7b1,0,8111,4,4096,0.5864715422502333,0.7260438227366832,0.8057705168175071,0.8677942374141125,0.9303154492348908,0.98291015625,0.68408203125,0.129638671875,1.0,0.5650483815890976,0.4250016398544465,0.8599247294191039,0.0,0.0
