model,layer,seed,sweeps,dimension,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction,raw_global_lfs,ss_language_relative_error,ss_concept_relative_error
Qwen3-4B-Base,0,1729,0,2560,0.6340406822122662,0.7654139982952564,0.8397619083645163,0.8922080190628362,0.9415706153438542,0.987890625,0.801171875,0.208984375,1.0,0.43471634682156823,0.2507554822191447,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,1729,1,2560,0.6360231049815261,0.7704091017859777,0.8420744386449683,0.8942508978594179,0.9433118707598737,0.991015625,0.8,0.21953125,1.0,0.4195438035704562,0.2297296539620444,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,1729,4,2560,0.6431609781885111,0.779553302633888,0.8489601395124532,0.9011411628097351,0.9461997834221043,0.993359375,0.816015625,0.25546875,1.0,0.3842066139749549,0.19185828942267938,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,1729,16,2560,0.6593751689027357,0.7906490939799757,0.8561393214743227,0.9021868369006635,0.9438764333896341,0.994921875,0.84296875,0.262890625,1.0,0.342340339643445,0.1533855296033295,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,2718,0,2560,0.6340406822122662,0.7654139982952564,0.8397619083645163,0.8922080190628362,0.9415706153438542,0.987890625,0.801171875,0.208984375,1.0,0.43471634682156823,0.2507554822191447,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,2718,1,2560,0.6335488792475111,0.7695329602669958,0.840159262756407,0.8949891028926913,0.9425884938862789,0.9921875,0.8,0.226171875,1.0,0.42245061206048695,0.23356059492896175,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,2718,4,2560,0.649170796608344,0.7772923850708149,0.8468731112296961,0.8979692636011458,0.9431120022985338,0.9921875,0.828125,0.241796875,1.0,0.3882039617565889,0.19118862411807502,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,2718,16,2560,0.6669909891361622,0.7942246652362239,0.8573849066402164,0.901409504244838,0.9428582111187747,0.99375,0.8484375,0.258203125,1.0,0.34123812011082033,0.15075952761544192,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,3141,0,2560,0.6340406822122662,0.7654139982952564,0.8397619083645163,0.8922080190628362,0.9415706153438542,0.987890625,0.801171875,0.208984375,1.0,0.43471634682156823,0.2507554822191447,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,3141,1,2560,0.6334748245178164,0.7711417777393841,0.8414601280718796,0.8936835194964059,0.9436412135783624,0.9890625,0.8046875,0.2171875,1.0,0.4233665680749643,0.23328348519660877,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,3141,4,2560,0.6411602126835533,0.7780032086297071,0.8491670521125971,0.8973096936940519,0.9436455771287637,0.993359375,0.81953125,0.23671875,1.0,0.3894133899132093,0.1948618675989639,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,3141,16,2560,0.6622695753420821,0.7978827854437379,0.8590241246860342,0.9026864012020779,0.9437570814563538,0.99453125,0.86171875,0.267578125,1.0,0.3286599890740143,0.1422777255743089,0.8669401468585669,1.68255664627024e-16,0.0
Qwen3-4B-Base,0,5772,0,2560,0.6340406822122662,0.7654139982952564,0.8397619083645163,0.8922080190628362,0.9415706153438542,0.987890625,0.801171875,0.208984375,1.0,0.43471634682156823,0.2507554822191447,0.8669401468585669,1.68255664627024e-16,1.3703193258308643e-16
Qwen3-4B-Base,0,5772,1,2560,0.6334556485016298,0.7666753462785141,0.8394730989623009,0.8937103156173667,0.9446110844641284,0.99140625,0.7984375,0.21875,1.0,0.4272970348262457,0.23299027727949165,0.8669401468585669,0.0,0.0
