model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
Mistral-7B-v0.3,2,13,300,4096,uniform,uniform_shrink,0.01,raw,aar10,-0.000546111762316856,-0.0005461228823610822,-0.0005461228823610822,uniform-scale invariant,1.1120044226251881e-08,2.0361798755210547e-05,1.5461228823610823e-09,FAIL
Mistral-7B-v0.3,2,13,300,4096,uniform,uniform_shrink,0.01,raw,mean_alignment_margin,-0.0002551894088426643,-0.00025519611879054415,-0.00025519611879054415,uniform-scale invariant,6.70994787982165e-09,2.629329909726776e-05,1.2551961187905441e-09,FAIL
