model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,concept_share_total,0.14661043436274662,0.14661043436274662,0.14661043436274662,uniform-scale invariant after coordinate standardization,0.0,0.0,1.4761043436274662e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,residual_share_total,0.3016252461695587,0.3016252461695587,0.3016252461695587,uniform-scale invariant after coordinate standardization,0.0,0.0,3.026252461695587e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,lfs_vc_reml,0.8303748739372657,0.8303748739372657,0.8303748739372657,uniform-scale invariant after coordinate standardization,0.0,0.0,8.313748739372657e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,mexa_external,0.49638888888888894,0.49638888888888894,0.49638888888888894,uniform-scale invariant after coordinate standardization,0.0,0.0,4.973888888888889e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,aar10,-0.0654386339201006,-0.0654386339201006,-0.0654386339201006,uniform-scale invariant after coordinate standardization,0.0,0.0,6.64386339201006e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,mean_alignment_margin,0.046379277402438523,0.046379277402438523,0.046379277402438523,uniform-scale invariant after coordinate standardization,0.0,0.0,4.7379277402438525e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,linear_cka,0.6149616663587253,0.6149616663587253,0.6149616663587253,uniform-scale invariant after coordinate standardization,0.0,0.0,6.159616663587252e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,cvp_within_raw,917.986673730161,917.986673730161,917.986673730161,uniform-scale invariant after coordinate standardization,0.0,0.0,0.000917987673730161,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,cpres_shared_raw,300.25816957490514,300.25816957490514,300.25816957490514,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00030025916957490516,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,mean_norm,44.77553844043394,44.77553844043394,44.77553844043394,uniform-scale invariant after coordinate standardization,0.0,0.0,4.477653844043394e-05,PASS
