metric,target,spearman,p,n,p_bh
aar10,raw_acc,0.5404390153971771,6.334390739716149e-90,1173,2.5337562958864598e-89
mexa,raw_acc,0.5386529248256401,3.1223342287854678e-89,1173,6.2446684575709355e-89
aar10,alpha,0.20834595505584733,5.707881768062522e-13,1173,7.610509024083362e-13
mexa,alpha,0.1762005378313751,1.2331717659551123e-09,1173,1.2331717659551123e-09
