model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y,alpha,s2,alpha_shrunk
OLMo-2-0425-1B,heb_Hebr,0.2833333333333333,Hebr,Afro-Asiatic,9.693476506485494,4.3273,0.02666666666666667,-0.07171106338500977,-0.008548700250685215,Afro-Asiatic,other,-3.0680529351336174,0.9002875534755086,0.6671511627906979,0.00013492483847361757
OLMo-2-1124-7B,amh_Ethi,0.26,Ethi,Afro-Asiatic,8.5541337799261,11.1132,0.016666666666666666,-0.06798182427883148,-0.03393391892313957,Afro-Asiatic,other,-4.304065093204169,-0.5701125280606121,6.587837837837826,-8.653884429071548e-06
OLMo-2-1124-7B,som_Latn,0.2733333333333333,Latn,Afro-Asiatic,3.781970673912552,1.7769,0.11,-0.08592435717582703,-0.007307971362024546,Afro-Asiatic,Latn,-3.4385849137337767,0.8756882025682855,1.2954034824939167,6.759443063334131e-05
OLMo-2-1124-7B,arb_Arab,0.34,Arab,Afro-Asiatic,10.841073612355865,3.274,0.6933333333333334,-0.01950668916106224,0.05742685869336128,Afro-Asiatic,Arab,-1.9924301646902058,0.6452819019233729,0.11924803591470251,0.0005406724098990258
OLMo-2-1124-7B,arb_Latn,0.2633333333333333,Latn,Afro-Asiatic,10.841073612355865,3.274,,,,Afro-Asiatic,Latn,-4.011868340397864,-1.5635117936854779,3.7701498868778427,-4.146971261439749e-05
OLMo-2-1124-7B,heb_Hebr,0.2966666666666667,Hebr,Afro-Asiatic,9.693476506485494,4.3273,0.6166666666666667,-0.01580836810171604,0.05199504271149635,Afro-Asiatic,other,-2.7128008038608074,-0.004679758637206266,0.3631577038398295,-1.288275104766079e-06
Mistral-7B-v0.3,amh_Ethi,0.2866666666666667,Ethi,Afro-Asiatic,8.5541337799261,9.2196,0.013333333333333334,-0.08501113951206207,-0.04929728806018829,Afro-Asiatic,other,-2.9680807422234805,-0.011006112888970243,0.5604580211632034,-1.963420798841501e-06
Mistral-7B-v0.3,som_Latn,0.3,Latn,Afro-Asiatic,3.781970673912552,1.7756,0.06333333333333334,-0.08031230419874191,-0.01794998161494732,Afro-Asiatic,Latn,-2.639057329615259,1.0934698037823098,0.3214285714285716,0.00034008480148066405
Mistral-7B-v0.3,arb_Arab,0.36,Arab,Afro-Asiatic,10.841073612355865,3.7678,0.7533333333333333,0.001574771129526198,0.06888771802186966,Afro-Asiatic,Arab,-1.7609878105613017,0.34603245582655706,0.08716425619834708,0.00039653401165471797
Mistral-7B-v0.3,arb_Latn,0.27666666666666667,Latn,Afro-Asiatic,10.841073612355865,3.7678,,,,Afro-Asiatic,Latn,-3.3004558118606235,-1.382791065373957,1.0085145449308752,-0.00013709806904156911
