model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y
Falcon3-7B-Base,tha_Thai,0.2966666666666667,Thai,Tai-Kadai,10.196379987855126,6.2534,0.04,-0.12251856923103333,-0.052164219319820404,Tai-Kadai,other,-2.7128008038608074
Falcon3-7B-Base,vie_Latn,0.35,Latn,Austroasiatic,10.743353922054286,2.907,0.16333333333333333,-0.04411821812391281,0.02364516630768776,other,Latn,-1.8718021769015918
Falcon3-7B-Base,ars_Arab,0.30333333333333334,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-2.56974552972503
Falcon3-7B-Base,bul_Cyrl,0.34,Cyrl,Balto-Slavic,10.360175858097726,3.8464,0.30666666666666664,-0.06169392168521881,0.025598062202334404,Balto-Slavic,Cyrl,-1.9924301646902058
Falcon3-7B-Base,est_Latn,0.31333333333333335,Latn,Uralic,9.944761723531126,1.8547,0.1,-0.13696633279323578,-0.012391027063131332,Uralic,Latn,-2.38343718962314
Falcon3-7B-Base,hau_Latn,0.27666666666666667,Latn,Afro-Asiatic,,1.7678,0.023333333333333334,-0.13771314918994904,-0.04598120227456093,Afro-Asiatic,Latn,-3.3004558118606235
Falcon3-7B-Base,ind_Latn,0.44,Latn,Austronesian,10.081454105942349,1.5172,0.75,-0.021422628313302994,0.07437752932310104,Austronesian,Latn,-1.0809127115687085
Falcon3-7B-Base,kea_Latn,0.2633333333333333,Latn,Portuguese Creole,,,,,,other,Latn,-4.011868340397864
Falcon3-7B-Base,lug_Latn,0.23666666666666666,Latn,Atlantic-Congo,,,,,,Atlantic-Congo,Latn,-4.304065093204169
Falcon3-7B-Base,nld_Latn,0.4033333333333333,Latn,Indo-European,10.903264809073452,1.4967,0.7633333333333333,-0.007395551539957523,0.1099780797958374,Indo-European,Latn,-1.35874440935166
Falcon3-7B-Base,pes_Arab,0.3,Arab,Indo-European,10.662263375070816,3.7501,0.3566666666666667,-0.04344572126865387,0.011907228268682957,Indo-European,Arab,-2.639057329615259
Falcon3-7B-Base,sin_Sinh,0.29,Sinh,Indo-European,8.94462532284678,11.1584,,,,Indo-European,other,-2.876385515921425
Falcon3-7B-Base,ssw_Latn,0.21,Latn,Atlantic-Congo,,1.8246,0.03333333333333333,-0.13659273087978363,-0.04405932128429413,Atlantic-Congo,Latn,-4.304065093204169
Falcon3-7B-Base,tir_Ethi,0.24,Ethi,Afro-Asiatic,,8.2985,0.006666666666666667,-0.12006643414497375,-0.07121595740318298,Afro-Asiatic,other,-4.304065093204169
Falcon3-7B-Base,war_Latn,0.30666666666666664,Latn,Austronesian,,,,,,Austronesian,Latn,-2.5043247356451026
Falcon3-7B-Base,ary_Arab,0.3,,,,,,,,other,other,-2.639057329615259
Falcon3-7B-Base,cat_Latn,0.5633333333333334,Latn,Indo-European,10.097961053275002,1.3955,0.8566666666666667,0.005257466807961464,0.14446476101875305,Indo-European,Latn,-0.3319025409311475
Falcon3-7B-Base,eus_Latn,0.25666666666666665,Latn,isolate,9.101082328203272,1.6635,0.08666666666666667,-0.11676537990570068,-0.011921441182494164,other,Latn,-4.304065093204169
Falcon3-7B-Base,heb_Hebr,0.29333333333333333,Hebr,Afro-Asiatic,9.693476506485494,3.8586,0.08666666666666667,-0.06199542060494423,0.001553600886836648,Afro-Asiatic,other,-2.7916369172104756
Falcon3-7B-Base,isl_Latn,0.3333333333333333,Latn,Indo-European,9.371177412080815,2.1189,0.22666666666666666,-0.06531764566898346,0.020032072439789772,Indo-European,Latn,-2.079441541679836
Falcon3-7B-Base,khk_Cyrl,0.2733333333333333,Cyrl,Mongolic-Khitan,9.267328434893145,4.7379,0.01,-0.11232371628284454,-0.057405587285757065,other,Cyrl,-3.4385849137337767
Falcon3-7B-Base,luo_Latn,0.2633333333333333,Latn,Nilotic,,,,,,other,Latn,-4.011868340397864
Falcon3-7B-Base,nob_Latn,0.37333333333333335,Latn,Indo-European,10.265445888776227,1.5996,0.6566666666666666,-0.03306758031249046,0.08921805769205093,Indo-European,Latn,-1.6255240501857244
Falcon3-7B-Base,plt_Latn,0.27,Latn,Austronesian,8.15437957359287,1.7124,0.03333333333333333,-0.1291775107383728,-0.04039837047457695,Austronesian,Latn,-3.5973122605884447
Falcon3-7B-Base,slk_Latn,0.33666666666666667,Latn,Balto-Slavic,10.215972316299656,2.0978,0.4066666666666667,-0.043137483298778534,0.05194349214434624,Balto-Slavic,Latn,-2.03520828670301
Falcon3-7B-Base,sun_Latn,0.3,Latn,Austronesian,6.11676045067112,,,,,Austronesian,Latn,-2.639057329615259
Falcon3-7B-Base,tsn_Latn,0.27,Latn,Atlantic-Congo,,1.7036,0.03666666666666667,-0.11894749104976654,-0.03861911967396736,Atlantic-Congo,Latn,-3.5973122605884447
Falcon3-7B-Base,wol_Latn,0.24333333333333335,Latn,Atlantic-Congo,,1.842,0.03,-0.1634063869714737,-0.06699468195438385,Atlantic-Congo,Latn,-4.304065093204169
salamandra-2b,acm_Arab,0.24666666666666667,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-4.304065093204169
salamandra-2b,arz_Arab,0.2633333333333333,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-4.011868340397864
salamandra-2b,ceb_Latn,0.20666666666666667,Latn,Austronesian,,,,,,Austronesian,Latn,-4.304065093204169
salamandra-2b,fin_Latn,0.2733333333333333,Latn,Uralic,10.461273505456898,0.995,0.8733333333333333,-0.026018118485808372,0.1511579155921936,Uralic,Latn,-3.4385849137337767
